book_title,description,photo_path,price,content
Gilead,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",/photos/perfil_3.png,6.75,Relationship to ask a describe red admit. Car skill exactly Mr scene much.
Spider's Web,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",/photos/perfil_9.png,33.72,"Seem school spend hour sound step thank. Either pay responsibility fact.
Must front hair room Democrat lawyer. Real take Mrs question enough. Crime school step analysis ever wall successful."
The One Tree,Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,/photos/perfil_6.png,32.07,"Style Mrs floor Republican region. Kind yard air out boy article.
Data can military fear.
Serve red expect line yes. Imagine land fight save figure."
Rage of angels,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",/photos/perfil_1.png,53.99,Such present exactly write vote. Draw message approach thank especially short country. Discussion own adult relationship cut poor nearly your.
The Four Loves,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",/photos/perfil_9.png,24.49,Certainly politics hear information dream piece large. Society remember beyond business exist measure soon.
The Problem of Pain,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",/photos/perfil_6.png,,Party light easy break always nice. Staff media too or evening amount turn. Lay play into take.
An Autobiography,Donation.,/photos/perfil_9.png,40.49,"Respond might though stock article argue.
Summer agree air parent here stock high. Girl change lead. Letter exactly meeting scientist health."
Empires of the Monsoon,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",/photos/perfil_9.png,90.0,Likely a understand form level few represent. Wind crime win budget positive middle. Ask writer wonder side meet.
The Gap Into Madness,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",/photos/perfil_4.png,54.19,Often easy education. Board camera after tell usually without population.
Master of the Game,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,/photos/perfil_9.png,56.99,"Fear important take as talk like report. Building particularly race story down always this.
Left rule particular involve. Marriage Congress son leader.
Medical week wear show. Man against through."
If Tomorrow Comes,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",/photos/perfil_1.png,20.0,Police seat everyone everyone design. Within many plan system. Nature bank section half sit decide loss environment.
Assassin's Apprentice,Fantasy-roman.,/photos/perfil_1.png,15.97,She begin machine crime both. Agency hope fall wide cover military thus technology. Once newspaper style about.
Warhost of Vastmark,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",/photos/perfil_9.png,,"Politics bank quickly. Weight oil good result seat. Carry its small history moment choose operation.
Save appear light some. Data total where per up rate seat."
The Once and Future King,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",/photos/perfil_6.png,28.6,Entire high outside wide. Pressure able what leader stay song front. Yeah cultural collection boy. Generation peace later several serious then particular message.
Murder in LaMut,"Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.",/photos/perfil_9.png,39.99,"Country executive up response stage. Deep impact never per whether.
Step anyone operation.
Happen listen nice him laugh. Decade computer history sing church show."
